"ד'אנג'לי, נגה",פתיחת קופות,נשי ותהני
"דאום, חנוך",כוכבות,
"דביר, סופיה",במות פתוחות,
"דברת, עדי",במות פתוחות,
"דגן, מיה",במות פתוחות,ערב הסטנדאפ של הלייף
"דגן, רמי",במות פתוחות,
"דהאן, לימור",במות פתוחות,
"דהן, אופיר",פתיחת קופות,
דובדבני וקובץ',פתיחת קופות,קומדי בר
"דוד, אלעד",קביעות במועדונים,סטנדאפ פקטורי
"דוד, שוקי",פתיחת קופות,
"דוידי, יורן",הופעות/כתיבה בטלוויזיה,"תירסקסואל, ערב הסטנדאפ המיותר"
"דויטש, יניב",במות פתוחות,
"דוראני, ויוי",במות פתוחות,
"דידי, נחום",פתיחת קופות,קומדי בר
"דיטש, אביטל",במות פתוחות,
"דרוגר, גסטון",פתיחת קופות,
"דרורי, אסף",במות פתוחות,
"דריי, פאלומה",במות פתוחות,
"הבר, ליאור",במות פתוחות,ליאור מארחת
"הדר, צביקה",כוכבות,
"הוד, אדיר",במות פתוחות,
"הוכמן, גיא",פתיחת קופות,
"הורוביץ, אמיר",פתיחת קופות,קומדי בר
"הנגבי, מיכאל",פתיחת קופות,קאמל קומדי קלאב
"הנדלר, נדב",קביעות במועדונים,קומדי בר
"הר לב, ליאת",סטנדאפ לאחר כוכבות,
"הראל, גיל",במות פתוחות,
"הראל, רועי",במות פתוחות,
"הרוש, מאור",הופעות/כתיבה בטלוויזיה,עופר ומאר
"הרמל, מירב",פתיחת קופות,בנות עם ביצים
"הרשקוביץ, יוסף",במות פתוחות,
"הרשקוביץ, עמית",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"והבה, שלומי",במות פתוחות,
"והדי, הראל",קביעות במועדונים,סטנדאפ פקטורי
"וולך, לילך",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"וידר, שי",פתיחת קופות,סטנדאפ פקטורי
"ויטלזון יעקבס, רביטל",פתיחת קופות,
"ויינברג, דניאל",במות פתוחות,ערב הסטנדאפ החמים
"ויינברג, עמית",במות פתוחות,
"ויינר, חגית",במות פתוחות,
"ויינר, יובל",במות פתוחות,ערב הסטנדאפ של הלייף
"וייס, רחלה",פתיחת קופות,
"וייסברג, רותם",הופעות/כתיבה בטלוויזיה,
"וייסמן, אריאל",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, צ' סופית"
"וייסמן, מתן",במות פתוחות,
"וילוז'ני, שמואל",כוכבות,
"וילצ'רסקי, גדי (עידן מור)",פתיחת קופות,"משחקי הקססה, סטנדאפ פקטורי"
"וינר, אמיר",במות פתוחות,
"ורד קפלן, טלי",פתיחת קופות,
"ורד, גל דודו",במות פתוחות,
"ורד, רמי",כוכבות,
"זאבי, בוב",פתיחת קופות,
"זאוסמר, חן",במות פתוחות,ערב הסטנדאפ המיותר
"זבולון, איתי",הופעות/כתיבה בטלוויזיה,
"זהבי, שיר",במות פתוחות,
"זוזל, אורן",פתיחת קופות,
"זולטי, טל",במות פתוחות,
"זיו, רותם",פתיחת קופות,מחשבות מסלול מחדש
"זילברמן, אריק",פתיחת קופות,קאמל קומדי קלאב
"זינגר, גיורא",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי"
"זכריה, עידו",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ חסר הביטחון העצמי
"זלוטקין, נדב",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ חסר הביטחון העצמי"
"זלמן אביטל, שירי",פתיחת קופות,
"זלצמן, אורי",במות פתוחות,האשכנזים
"זמיר, אייל",במות פתוחות,
"זרו, ברקו",פתיחת קופות,קאמל קומדי קלאב
"זרחוביץ', ערן",סטנדאפ לאחר כוכבות,
"זרעיה, שבי",פתיחת קופות,
"חביב, אלי",פתיחת קופות,"סטנדאפ ואלרגיות, קאמל קומדי קלאב"
"חביב, חי",במות פתוחות,
"חדד, שי",במות פתוחות,הקהל מת מצחוק
"חוגי, גלית",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם
"חזון, עופר",פתיחת קופות,
"חזקיה, אורי",כוכבות,סטנדאפ פקטורי
"חי, סהר",במות פתוחות,"ערב הסטנדאפ החזק מאוד, ערב הסטנדאפ האינטימי"
"חיבה, פלג",במות פתוחות,
"חיו, אבי",קביעות במועדונים,קומדי בר
"חיו, יפית",במות פתוחות,
"חלימי, אביתר",הופעות/כתיבה בטלוויזיה,"צ' סופית, ערב הסטנדאפ המיותר"
"חמו, יעקב",הופעות/כתיבה בטלוויזיה,
"חממי, אורי",במות פתוחות,
"חן, דניאל",פתיחת קופות,"הנרקיסיסטים, סטנדאפ פקטורי"
"חן, מור",פתיחת קופות,
"חנוכה, ענבל",קביעות במועדונים,"אסיפת הורים, סטנדאפ פקטורי"
"חנניה, עמרי",במות פתוחות,
"חסון, שחר",כוכבות,"במה פתוחה באנגלית 3 יחידות, קומדי בר"
"חפץ, יניב",במות פתוחות,
"חקלאי, יובל",קביעות במועדונים,קאמל קומדי קלאב
"חרקובר, דני",במות פתוחות,
"חשאי, עמית",פתיחת קופות,סטנדאפ פקטורי
"טבריה, רונן",במות פתוחות,
"טובים, אמירם",פתיחת קופות,קומדי בר
"טולדנו, מיה",פתיחת קופות,
"טייכנר, דרור",הופעות/כתיבה בטלוויזיה,צמד שיניים
"טירנגל, טל",הופעות/כתיבה בטלוויזיה,"תירסקסואל, ערב הסטנדאפ המיותר"
"טלניר, אורי",במות פתוחות,
"טרבלוס, יוסי",פתיחת קופות,קומדי בר
"יאדגר, אורן",פתיחת קופות,
"ידעי, גל",במות פתוחות,
"יום טוב, שי",פתיחת קופות,קאמל קומדי קלאב
"יוקו, בבר",פתיחת קופות,
"יעקבי, יאיר",פתיחת קופות,
"יער, תום",כוכבות,
"יפת, יוגב",הופעות/כתיבה בטלוויזיה,
"יצחקי, אסף",פתיחת קופות,סטנדאפ פקטורי
"יצפאן, אלי",כוכבות,
"יקיר, אודליה",פתיחת קופות,
"ישראל, מרסל (לימור שושן)",פתיחת קופות,
"ישראלי, אילאיל",פתיחת קופות,מחשבות מסלול מחדש
"יתח, דור",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי"
"כאהן, דור",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, קאמל קומדי קלאב"
"כגן, אודי",סטנדאפ לאחר כוכבות,
"כהן, אסי",סטנדאפ לאחר כוכבות,קומדי בר
"כהן, דני",במות פתוחות,ערב הסטנדאפ האינטימי
"כהן, דניאל",פתיחת קופות,קומדי בר
"כהן, יואב",קביעות במועדונים,"האשכנזים, קאמל קומדי קלאב"
"כהן, יעקב",כוכבות,
"כהן, ליעוז",קביעות במועדונים,קומדי בר
"כהן, מאור",סטנדאפ לאחר כוכבות,
"כהן, נאור",במות פתוחות,
"כהן, עדי",אנגלית,
"כהן, קארין",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"כהן, שי",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ החמים"
"כהנא, סיגל",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב"
"כורם, מור",במות פתוחות,
"כפרי, רועי",סטנדאפ לאחר כוכבות,
"כץ, ניר",במות פתוחות,
"לב, חיה",אנגלית,דנסינג קאמל
"לב, לאה",כוכבות,קאמל קומדי קלאב
"לב, עדי",במות פתוחות,
"לבנטל, יעל",סטנדאפ לאחר כוכבות,
"לבקוביץ', בן",במות פתוחות,סטנדאפ בגלריה
"לגזיאל שי, עדי",במות פתוחות,
"לוביט, בנג'י",אנגלית,דנסינג קאמל
"לוטבק, אביעד",במות פתוחות,
"לוי, אייל",במות פתוחות,
"לוי, גיא",קביעות במועדונים,קומדי בר
"לוי, דוד",במות פתוחות,
"לוי, דייב",אנגלית,
"לוי, הדר",פתיחת קופות,
"לוי, יואב",פתיחת קופות,
"לוי, רועי",כוכבות,קאמל קומדי קלאב
"לוי, רן",פתיחת קופות,
"לוי, רשף",כוכבות,
"לוי, תומר",במות פתוחות,
"לוין, עמרי",במות פתוחות,דנסינג קאמל
"לוקסנבורג, שרון",במות פתוחות,
"לזובסקי, מיכל",במות פתוחות,
"ליבנה, גידי",פתיחת קופות,סטנדאפ פקטורי
"ליברמן, אבי",אנגלית,
"לייזר, רועי",במות פתוחות,
"ליפו, אסף",במות פתוחות,
"ליפל, אור",הופעות/כתיבה בטלוויזיה,
"לנדאו, יהודה",במות פתוחות,
"לנטון, איתי",במות פתוחות,ערב הסטנדאפ האמביוולנטי
"לסלאו, חנה",כוכבות,
"לפידות, עדינה",במות פתוחות,
"לקס, מתן",הופעות/כתיבה בטלוויזיה,
"מג'ר, ניב",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם
"מגן שבו, ענת",כוכבות,
"מדלסי, יונתן",במות פתוחות,
מוהנד,במות פתוחות,
"מויאל, אמיר",פתיחת קופות,
"מולכו, אסף",במות פתוחות,
"מונט, ג'וזי",במות פתוחות,
"מור יוסף, אסף",פתיחת קופות,
"מורי, ערן",פתיחת קופות,
"מושונוב, מוני",סטנדאפ לאחר כוכבות,
"מזרחי, חן",פתיחת קופות,קאמל קומדי קלאב
"מזרחי, ישי",פתיחת קופות,
