name,status,stage,sex,national,att1,gen,religion
"לגזיאל שי, עדי",במות פתוחות,,נ,,,,
"לוביט, בנג'י",אנגלית,דנסינג קאמל,ז,,,,
"לוטבק, אביעד",במות פתוחות,,ז,,,,
"לוי, אייל",במות פתוחות,,ז,,,,
"לוי, גיא",קביעות במועדונים,קומדי בר,ז,,,,
"לוי, דוד",במות פתוחות,,ז,,,,
"לוי, דייב",אנגלית,,ז,,,,
"לוי, הדר",פתיחת קופות,,נ,,,,
"לוי, יואב",פתיחת קופות,,ז,,,,
"לוי, רועי",כוכבות,קאמל קומדי קלאב,ז,,,,
"לוי, רן",פתיחת קופות,,ז,,,,
"לוי, רשף",כוכבות,,ז,,,,
"לוי, תומר",במות פתוחות,,ז,,,,
"לוין, עמרי",במות פתוחות,דנסינג קאמל,ז,,,,
"לוקסנבורג, שרון",במות פתוחות,,נ,,,,
"לזובסקי, מיכל",במות פתוחות,,נ,,,,
"ליבנה, גידי",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"ליברמן, אבי",אנגלית,,ז,,,,
"לייזר, רועי",במות פתוחות,,ז,,,,
"ליפו, אסף",במות פתוחות,,ז,,,,
"ליפל, אור",הופעות/כתיבה בטלוויזיה,,ז,,,,
"לנדאו, יהודה",במות פתוחות,,ז,,,,דתי
"לנטון, איתי",במות פתוחות,ערב הסטנדאפ האמביוולנטי,ז,,,,
"לסלאו, חנה",כוכבות,,נ,,,,
"לפידות, עדינה",במות פתוחות,,נ,,,,
"לקס, מתן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"מג'ר, ניב",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם,ז,,,,
"מגן שבו, ענת",כוכבות,,נ,,,,
"מדלסי, יונתן",במות פתוחות,,ז,,,,
מוהנד,במות פתוחות,,ז,ערבי,,,מוסלמי
"מויאל, אמיר",פתיחת קופות,,ז,,,,
"מולכו, אסף",במות פתוחות,,ז,,,,
"מונט, ג'וזי",במות פתוחות,,נ,,,,
"מור יוסף, אסף",פתיחת קופות,,ז,,,,
"מורי, ערן",פתיחת קופות,,ז,,,,
"מושונוב, מוני",סטנדאפ לאחר כוכבות,,ז,,,,
"מזרחי, חן",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"מזרחי, ישי",פתיחת קופות,,ז,,,,
"מחלב, סמי",במות פתוחות,,ז,,,,
"מטו, ששי",קביעות במועדונים,קומדי בר,ז,,,,
"מיינדר, ערן",במות פתוחות,,ז,,,,
"מיכאלי, בנצי",במות פתוחות,,ז,,,,
"מיכאלי, רבקה",כוכבות,,נ,,,,
"מיכלוביץ', טל",קביעות במועדונים,קאמל קומדי קלאב,נ,,,,
"מילמן, דדו",פתיחת קופות,,ז,,,,
"מילר, אדיר",כוכבות,,ז,,,,
"מילשטיין, נמרוד",במות פתוחות,,ז,,,,
"מימון, קובי",כוכבות,,ז,,,,
"מימון, תאיר",במות פתוחות,,נ,,,,
"מימרן, אוהד",פתיחת קופות,קומדי בר,ז,,,,
"מיציגורסקי, שרה",במות פתוחות,ערב הסטנדאפ של הלייף,נ,,,,
"מירב, אבנר",במות פתוחות,"הסטנדאפ של הגיקים, דנסינג קאמל",ז,,,,
"מלכה, מני",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"מלמד, אורי",פתיחת קופות,,ז,,,,
"מלצר, יעל",במות פתוחות,,נ,,,,
"ממן, מאור",במות פתוחות,,ז,,,,
"מנדל, נויה",פתיחת קופות,,נ,,,,
"מנדס, עומר",במות פתוחות,,ז,,,,
"מנור, מיכל",במות פתוחות,,נ,,,,
"מנור, נועה",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב",נ,,,,
"מנקס, טל",פתיחת קופות,,ז,,,,
"מרטון, אנאבל",פתיחת קופות,,נ,,,,
"מרציאנו, דולב",במות פתוחות,,ז,,,,
"משולם, ירדן",במות פתוחות,,ז,,,,
"משל פליישמן, רוני",במות פתוחות,,נ,,,,
"נאומנקו, מיכאל",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר",ז,,,,
"נאור, אייל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"נבון, דב",סטנדאפ לאחר כוכבות,,ז,,,,
"נבון, רונה",במות פתוחות,,נ,,,,
"נהרי, אלון",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"נוי, ירון",פתיחת קופות,ערב הסטנדאפ האינטימי,ז,,,,
"נוימן, אלון",פתיחת קופות,,ז,,,,
"נוימן, עידו",במות פתוחות,ערב הסטנדאפ האינטימי,ז,,,,
